#1:i  2:j   3:lat       4:lon       5:rproj     6:vproj     
1     164   -86.40000   +295.20000  -9.991e-01  +2.970e-02  
1     165   -86.40000   +297.00000  -9.991e-01  +2.878e-02  
1     166   -86.40000   +298.80000  -9.991e-01  +2.782e-02  
1     167   -86.40000   +300.60000  -9.990e-01  +2.679e-02  
1     168   -86.40000   +302.40000  -9.990e-01  +2.572e-02  
1     169   -86.40000   +304.20000  -9.990e-01  +2.460e-02  
1     170   -86.40000   +306.00000  -9.989e-01  +2.342e-02  
1     171   -86.40000   +307.80000  -9.989e-01  +2.220e-02  
1     172   -86.40000   +309.60000  -9.989e-01  +2.092e-02  
1     173   -86.40000   +311.40000  -9.988e-01  +1.960e-02  
1     174   -86.40000   +313.20000  -9.988e-01  +1.824e-02  
1     175   -86.40000   +315.00000  -9.987e-01  +1.683e-02  
1     176   -86.40000   +316.80000  -9.987e-01  +1.538e-02  
1     177   -86.40000   +318.60000  -9.987e-01  +1.389e-02  
1     178   -86.40000   +320.40000  -9.986e-01  +1.236e-02  
1     179   -86.40000   +322.20000  -9.986e-01  +1.078e-02  
1     180   -86.40000   +324.00000  -9.985e-01  +9.177e-03  
1     181   -86.40000   +325.80000  -9.985e-01  +7.535e-03  
1     182   -86.40000   +327.60000  -9.984e-01  +5.860e-03  
1     183   -86.40000   +329.40000  -9.984e-01  +4.152e-03  
1     184   -86.40000   +331.20000  -9.983e-01  +2.414e-03  
1     185   -86.40000   +333.00000  -9.983e-01  +6.484e-04  
1     186   -86.40000   +334.80000  -9.982e-01  -1.144e-03  
1     187   -86.40000   +336.60000  -9.982e-01  -2.962e-03  
1     188   -86.40000   +338.40000  -9.981e-01  -4.803e-03  
1     189   -86.40000   +340.20000  -9.981e-01  -6.665e-03  
1     190   -86.40000   +342.00000  -9.980e-01  -8.546e-03  
1     191   -86.40000   +343.80000  -9.980e-01  -1.045e-02  
1     192   -86.40000   +345.60000  -9.979e-01  -1.236e-02  
1     193   -86.40000   +347.40000  -9.979e-01  -1.429e-02  
1     194   -86.40000   +349.20000  -9.978e-01  -1.623e-02  
1     195   -86.40000   +351.00000  -9.978e-01  -1.818e-02  
1     196   -86.40000   +352.80000  -9.977e-01  -2.014e-02  
1     197   -86.40000   +354.60000  -9.977e-01  -2.210e-02  
1     198   -86.40000   +356.40000  -9.976e-01  -2.407e-02  
1     199   -86.40000   +358.20000  -9.976e-01  -2.604e-02  
2     0     -84.60000   +0.00000    -9.950e-01  -2.877e-02  
2     1     -84.60000   +1.80000    -9.949e-01  -3.172e-02  
2     2     -84.60000   +3.60000    -9.948e-01  -3.467e-02  
2     3     -84.60000   +5.40000    -9.948e-01  -3.760e-02  
2     4     -84.60000   +7.20000    -9.947e-01  -4.053e-02  
2     5     -84.60000   +9.00000    -9.946e-01  -4.345e-02  
2     6     -84.60000   +10.80000   -9.945e-01  -4.634e-02  
2     7     -84.60000   +12.60000   -9.945e-01  -4.922e-02  
2     8     -84.60000   +14.40000   -9.944e-01  -5.208e-02  
